"kur_id","kdmk","nmmk","nmen","tp","sks","sks_t","sks_p","smt","jns_smt","aktif","kur_nama","kelompok_makul","kur_aktif","jenis_matkul"
137,D11.6209,DASAR KESEHATAN REPRODUKSI,Basic Reproductive Health ,T,2,2,0,2,2,0,D11.KUR.2024/2025,MKK,1,wajib
137,D11.6301,DASAR PROMOSI KESEHATAN,Basic Health Promotion,T,2,2,0,3,1,0,D11.KUR.2024/2025,MKK,1,wajib
125,D11.6301,DASAR PROMOSI KESEHATAN,Basic Health Promotion,T,2,2,0,1,1,1,Z11.KUR.2021/2022,MKK,1,wajib
137,D11.6302,SISTEM INFORMASI KESEHATAN,Health Information System,T,2,2,0,3,1,0,D11.KUR.2024/2025,MKK,1,wajib
125,D11.6302,SISTEM INFORMASI KESEHATAN,Health Information System,T,2,2,0,3,1,1,Z11.KUR.2021/2022,MKK,1,wajib
137,D11.6303,DASAR ENTREPRENEURSHIP,Basic Entrepreneurship,T,2,2,0,1,1,0,D11.KUR.2024/2025,MKK,1,wajib
125,D11.6303,DASAR ENTREPRENEURSHIP,Basic Entrepreneurship,T,2,2,0,2,2,1,Z11.KUR.2021/2022,MKK,1,wajib
125,D11.6304,DASAR KEPENDUDUKAN,Basic Demography,T,2,2,0,1,1,1,Z11.KUR.2021/2022,MKK,1,wajib
137,D11.6304,DASAR KEPENDUDUKAN,Basic Demography,T,2,2,0,3,1,0,D11.KUR.2024/2025,MKK,1,wajib
125,D11.6305,EKONOMI KESEHATAN,Health Economic,T,2,2,0,3,1,1,Z11.KUR.2021/2022,MKK,1,wajib
137,D11.6305,EKONOMI KESEHATAN,Health Economic,T,2,2,0,3,1,0,D11.KUR.2024/2025,MKK,1,wajib
137,D11.6306,PENULISAN ILMIAH,Scientific Writing,T,2,2,0,3,1,0,D11.KUR.2024/2025,MKB,1,wajib
125,D11.6306,PENULISAN ILMIAH,Scientific Writing,T,2,2,0,1,1,1,Z11.KUR.2021/2022,MKB,1,wajib
137,D11.6307,APLIKASI PENGOLAHAN DATA KESEHATAN,Health Data Processing Application,P,2,0,2,3,1,0,D11.KUR.2024/2025,MKB,1,wajib
125,D11.6307,APLIKASI PENGOLAHAN DATA KESEHATAN,Health Data Processing Application,P,2,0,2,3,1,1,Z11.KUR.2021/2022,MKB,1,wajib
125,D11.6308,EPIDEMIOLOGI PENYAKIT MENULAR,Epidemiology of Communicable Diseases,T,2,2,0,3,1,1,Z11.KUR.2021/2022,MKK,1,wajib
137,D11.6308,EPIDEMIOLOGI PENYAKIT MENULAR,Epidemiology of Communicable Diseases,T,2,2,0,3,1,0,D11.KUR.2024/2025,MKK,1,wajib
125,D11.6309,DASAR KESEHATAN DAN KESELAMATAN KERJA,Basic Occupational Health & Safety,T,2,2,0,1,1,1,Z11.KUR.2021/2022,MKK,1,wajib
137,D11.6309,DASAR KESEHATAN DAN KESELAMATAN KERJA,Basic Occupational Health & Safety,T,2,2,0,3,1,0,D11.KUR.2024/2025,MKK,1,wajib
125,D11.6310,ETIKA DAN HUKUM KESEHATAN,Ethics and Health Policies,T,2,2,0,3,1,1,Z11.KUR.2021/2022,MKK,1,wajib
137,D11.6310,ETIKA DAN HUKUM KESEHATAN,Ethics and Health Policies,T,2,2,0,3,1,0,D11.KUR.2024/2025,MKK,1,wajib
125,D11.6401,PROMOSI KESEHATAN,Health Promotion,T,2,2,0,2,2,1,Z11.KUR.2021/2022,MKK,1,wajib
137,D11.6401,PROMOSI KESEHATAN,Health Promotion,T,2,2,0,4,2,0,D11.KUR.2024/2025,MKK,1,wajib
125,D11.6402,PEMBIAYAAN DAN PENGANGGARAN KESEHATAN,Health Financing and Budgeting,T,2,2,0,4,2,1,Z11.KUR.2021/2022,MKK,1,wajib
137,D11.6402,PEMBIAYAAN DAN PENGANGGARAN KESEHATAN,Health Financing and Budgeting,T,2,2,0,4,2,0,D11.KUR.2024/2025,MKK,1,wajib
125,D11.6403,ANALISIS KUALITAS LINGKUNGAN,Environment Quality Analysis,T,2,2,0,4,2,1,Z11.KUR.2021/2022,MKK,1,wajib
137,D11.6403,ANALISIS KUALITAS LINGKUNGAN,Environment Quality Analysis,T,2,2,0,4,2,0,D11.KUR.2024/2025,MKK,1,wajib
137,D11.6404,EPIDEMIOLOGI PENYAKIT TIDAK MENULAR,Epidemiology of Non communicable Diseases,T,2,2,0,4,2,0,D11.KUR.2024/2025,MKK,1,wajib
125,D11.6404,EPIDEMIOLOGI PENYAKIT TIDAK MENULAR,Epidemiology of Non communicable Diseases,T,2,2,0,4,2,1,Z11.KUR.2021/2022,MKK,1,wajib
